Identifier;Company Name;Country of Headquarters;"ESG Score
In the last 10 FY";;;;;;;;;
;;;FY0;FY-1;FY-2;FY-3;FY-4;FY-5;FY-6;FY-7;FY-8;FY-9
DTGGe.DE;Daimler Truck Holding AG;Germany;85,43;87,02;;;;;;;;
MLBMD.EUA;Beaconsmind AG;Switzerland;;;;;;;;;;
9JKn.F;International School Augsburg ISA gemeinnuetzige AG;Germany;;;;;;;;;;
VTWRn.H;Vantage Towers AG;Germany;30,21;;;;;;;;;
VH2.DE;Friedrich Vorwerk Group SE;Germany;;;;;;;;;;
VECT.OQ;VectivBio Holding AG;Switzerland;;;;;;;;;;
90Y.D;Ikonia FinTech AG;Germany;;;;;;;;;;
KTEK.DE;Katek Se;Germany;56,41;;;;;;;;;
SYAB.DE;Synlab AG;Germany;;;;;;;;;;
ATAI.OQ;ATAI Life Sciences NV;Germany;;;;;;;;;;
AERO.S;Montana Aerospace AG;Switzerland;;;;;;;;;;
9DD.D;Fonterelli SPAC 1 AG;Germany;;;;;;;;;;
PPGN.S;PolyPeptide Group AG;Switzerland;54,46;25,68;25,73;;;;;;;
HGEA.DE;hGears AG;Germany;;;;;;;;;;
LDF.DE;Linus Digital Finance AG;Germany;;;;;;;;;;
APPHG.DE;Apontis Pharma AG;Germany;;;;;;;;;;
27N.DE;Cannovum Cannabis AG;Germany;;;;;;;;;;
TRIFOR.CO;Trifork Holding AG;Switzerland;47,51;46,42;32,02;;;;;;;
OCS.OQ;Oculis Holding AG;Switzerland;;;;;;;;;;
991.MU;Vitruvia Medical AG;Switzerland;;;;;;;;;;
9D6.D;Aurenia SE;Germany;;;;;;;;;;
AQP1.D;Action Press AG;Germany;;;;;;;;;;
YOUG.DE;ABOUT YOU Holding SE;Germany;58,22;51,69;;;;;;;;
C3RY.DE;Cherry SE;Germany;;;;;;;;;;
BIKE.DE;Bike24 Holding AG;Germany;;;;;;;;;;
SPC1.D;Spac One AG;Germany;;;;;;;;;;
MLBBO.EUA;BEBO Health SA;Switzerland;;;;;;;;;;
IDNTT.MI;IDNTT SA;Switzerland;;;;;;;;;;
9MQ.D;Terentius Se;Germany;;;;;;;;;;
SOPH.OQ;Sophia Genetics SA;Switzerland;;;;;;;;;;
9Z2.D;Aurasol AG;Switzerland;;;;;;;;;;
5KZ.D;Dessixx AG;Germany;;;;;;;;;;
4JQ.D;Concado Se;Germany;;;;;;;;;;
VQLA.VI;VOQUZ Labs AG;Germany;;;;;;;;;;
14Dn.DE;Tokentus Investment AG;Germany;;;;;;;;;;
5KN.D;Spac Two AG;Germany;;;;;;;;;;
SRAD.OQ;Sportradar Group AG;Switzerland;;;;;;;;;;
ONON.N;On Holding AG;Switzerland;;;;;;;;;;
ASTRO.OL;Astrocast SA;Switzerland;;;;;;;;;;
VTSCn.DE;Vitesco Technologies Group AG;Germany;62,78;63,72;;;;;;;;
PYRG.DE;Pyrum Innovations AG;Germany;;;;;;;;;;
MEDX.S;medmix AG;Switzerland;;;;;;;;;;
75Sn.DE;Sdm SE;Germany;;;;;;;;;;
PO1n.F;Performance One AG;Germany;;;;;;;;;;
VEZ.DE;Veganz Group AG;Germany;;;;;;;;;;
MYNZ.OQ;Mainz Biomed NV;Germany;;;;;;;;;;
SEV.OQ;Sono Group NV;Germany;;;;;;;;;;
ALEX.V;Alpha Exploration Ltd;Switzerland;;;;;;;;;;
7V0.MU;Darwin AG;Germany;;;;;;;;;;
GUD1.BE;Guardbox Se;Germany;;;;;;;;;;
37Gn.D;Ceritech AG;Germany;;;;;;;;;;
EHCS.AS;European Healthcare Acquisition & Growth Company BV;Germany;;;;;;;;;;
3YO.D;Venturio SE;Germany;;;;;;;;;;
S14.D;Strategie Kapital AG;Germany;;;;;;;;;;
U9P.D;EAMD European AeroMarine Drones AG;Germany;;;;;;;;;;
YBTC.TG;Bitpanda Issuance GmbH;Germany;;;;;;;;;;
JZ6.DE;Deutsche Eigenheim Union AG;Germany;;;;;;;;;;
GGAA.OQ;Genesis Growth Tech Acquisition Corp;Switzerland;;;;;;;;;;
OJ2.D;Calvert International AG;Germany;;;;;;;;;;
SMARTsdb.ST;Smart Valor AG;Switzerland;;;;;;;;;;
5OZ.D;Vameva Se;Germany;;;;;;;;;;
P911_p.DE;Dr Ing hc F Porsche AG;Germany;;;;;;;;;;
V1W0g.D;Elaris GmbH;Germany;;;;;;;;;;
BOGn.MU;Stock3 AG;Germany;;;;;;;;;;
ENGLG.DE;Digital Invest eV AG;Germany;;;;;;;;;;
Q11.D;Viromed Medical AG;Germany;;;;;;;;;;
C45.D;Faveos Se;Germany;;;;;;;;;;
LP2.D;Innodio Se;Germany;;;;;;;;;;
HAUTE.BN;Haute Capital Partners AG;Switzerland;;;;;;;;;;
EPICN.S;EPIC Suisse AG;Switzerland;;;;;;;;;;
FU0.D;Cerdios Se;Germany;;;;;;;;;;
PATRI.BN;Patrimonium Urban Opportunity AG;Switzerland;;;;;;;;;;
E66n.MU;Semodu AG;Germany;;;;;;;;;;
9MO.D;Spac Three AG;Germany;;;;;;;;;;
Y59.D;PflegeDigitalisierung Invest AG;Germany;;;;;;;;;;
ACLN.S;Accelleron Industries AG;Switzerland;;;;;;;;;;
SSRT.PK;Streetex Corp;Germany;;;;;;;;;;
HIGHG.DE;Cantourage Group SE;Germany;;;;;;;;;;
BT6G.D;Vandana Se;Germany;;;;;;;;;;
6CG.D;Intesgo Se;Germany;;;;;;;;;;
D77n.DE;Neon Equity AG;Germany;;;;;;;;;;
IOSn.DE;IONOS Group SE;Germany;;;;;;;;;;
Q9U.D;Fonterelli SPAC 3 AG;Germany;;;;;;;;;;
DSFIR.AS;DSM-Firmenich AG;Switzerland;;;;;;;;;;
LAES.OQ;Sealsq Corp;Switzerland;;;;;;;;;;
