Identifier;Company Name;Country of Headquarters;"ESG Score
In the last 10 FY";;;;;;;;;
;;;FY0;FY-1;FY-2;FY-3;FY-4;FY-5;FY-6;FY-7;FY-8;FY-9
SIKA.S;Sika AG;Switzerland;80,65;81,15;77,15;65,32;64,36;60,3;59,84;51,5;44,59;43,49
SIMA.S;UBS (CH) Property Fund - Swiss Mixed 'Sima' CHF;Switzerland;;;;;;;;;;
SUN.S;Sulzer AG;Switzerland;72,14;75,22;61,82;64,88;52,57;56,07;61,06;73,14;80,54;85,49
SREA.S;UBS SW Swissreal;Switzerland;;;;;;;;;;
TECN.S;Tecan Group AG;Switzerland;63,8;56,68;57,76;50,96;40,18;30,55;;;;
REHN.S;Romande Energie Holding SA;Switzerland;42;38,06;11,74;;;;;;;
VBSN.S;IVF Hartmann Holding AG;Switzerland;;;;;;;;;;
VETN.S;Vetropack Holding SA;Switzerland;47,53;49,29;44,38;37,43;31,39;;;;;
VILN.S;Villars Holding SA;Switzerland;;;;;;;;;;
ROL.S;Von Roll Holding AG;Switzerland;41,68;42,57;43,74;40,01;;;;;;
VONN.S;Vontobel Holding AG;Switzerland;69,33;65,02;63,78;67,61;60,48;;;;;
ZEHN.S;Zehnder Group AG;Switzerland;34,62;30,93;31,31;;;;;;;
BYS.S;Bystronic AG;Switzerland;54,21;32,27;32,62;27,81;;;;;;
ZUGER.S;Zuger Kantonalbank;Switzerland;;;;;;;;;;
FREG.DE;Fresenius SE & Co KGaA;Germany;82,79;82,98;75,4;73,35;63,48;43,91;46,48;51,87;44,58;47,76
SGSN.S;SGS SA;Switzerland;86,29;87,05;85,68;81,82;84,07;81,55;79,04;80,38;78,6;72,86
BMWG.DE;Bayerische Motoren Werke AG;Germany;89,82;83,68;86,83;83,88;84,14;87,1;85,84;86,28;88,37;85,81
CECG.DE;Ceconomy AG;Germany;80,56;75,29;72,26;61,52;61,82;75,52;74,82;73,28;78,25;72,84
BALN.S;Baloise Holding AG;Switzerland;42,39;41,57;44,53;44,79;42,69;45,33;50,7;51,07;50,62;46,26
RWEG.DE;RWE AG;Germany;72,65;66,09;67,45;70,95;70,56;72,22;70,92;72,82;74,29;74,48
SIEGn.DE;Siemens AG;Germany;87,32;89,44;90,38;87,92;85,5;83,84;82,46;83,52;84,5;82,86
SNBN.S;Schweizerische Nationalbank;Switzerland;27,72;28,29;26,27;25,45;22,36;18,08;;;;
INRN.S;Interroll Holding AG;Switzerland;51,84;37,02;35,07;28,52;26,77;;;;;
KOMN.S;Komax Holding AG;Switzerland;39,3;37,98;38,03;35,23;32,38;;;;;
TKAG.DE;thyssenkrupp AG;Germany;74,37;76,45;76,52;67,76;70,42;71,43;73,3;66,8;61,12;62,56
IFAG.H;Ls Invest AG;Germany;;;;;;;;;;
HRPKk.DE;7C Solarparken AG;Germany;;;;;;;;;;
WIGGk.DE;Sporttotal AG;Germany;;;;;;;;;;
LPKG.DE;LPKF Laser & Electronics SE;Germany;49,81;45,28;38,06;;;;;;;
DTEGn.DE;Deutsche Telekom AG;Germany;87,08;87,6;82,4;77,76;77,06;79,4;78,63;70,23;73,62;75,79
VHOG.BE;Value-Holdings AG;Germany;;;;;;;;;;
INHG.DE;Indus Holding AG;Germany;43,82;39,52;32,11;25,08;;;;;;
ARYN.S;Aryzta AG;Switzerland;58,33;56,88;57,05;53,77;48,38;45,81;47,01;25,9;24,04;16,62
ADEN.S;Adecco Group AG;Switzerland;73,56;73,41;69,96;64,65;67,68;70,07;72,9;65,1;68,69;71,48
ALVG.DE;Allianz SE;Germany;91,98;92,81;94,32;94,11;94,97;86,09;86,65;88,46;86,12;88,67
BASFn.DE;BASF SE;Germany;92,32;93,12;92,6;90,71;89,9;83,78;83,78;87,9;88,61;86,79
BCJ.S;Banque Cantonale Du Jura SA;Switzerland;;;;;;;;;;
EFSG.MU;Effecten-Spiegel AG;Germany;;;;;;;;;;
AIRE.S;Airesis SA;Switzerland;6,63;7,01;3,85;;;;;;;
MYMX.PK;Mymetics Corp;Switzerland;;;;;;;;;;
ZUBN.S;Zueblin Immobilien Holding AG;Switzerland;14,35;14,14;36,88;;;;;;;
PV.DE;Pfeiffer Vacuum Technology AG;Germany;56,4;46,39;36,05;17,31;;;;;;
KRNG.DE;Krones AG;Germany;54,15;54,09;47,04;45,52;46,52;;;;;
G1AG.DE;GEA Group AG;Germany;83,13;70,31;68,67;68,4;68,8;63,76;49,21;39;33,86;33,15
HBMG.H;Hornbach Baumarkt AG;Germany;55,19;58,11;54,47;49,71;;;;;;
CB.N;Chubb Ltd;Switzerland;52,07;50,56;50,5;51,59;49,31;49,14;37,59;38,09;39,56;42,52
HETAn.F;KHD Humboldt Wedag Vermoegensverwaltungs-AG;Germany;;;;;;;;;;
SATG.DE;Sartorius AG;Germany;83,21;80,2;74,41;73,22;69,76;66,7;58,02;;;
SIM0.F;Simona AG;Germany;51,08;24,66;25,03;;;;;;;
WARN.S;Warteck Invest AG;Switzerland;;;;;;;;;;
TSSG.F;InnoTec TSS AG;Germany;;;;;;;;;;
JUNG_p.DE;Jungheinrich AG;Germany;59,79;52,85;53,37;48,04;41,13;;;;;
FLEG.MU;Fleischerei Bedarf AG von 1923;Germany;;;;;;;;;;
GFTG.DE;GFT Technologies SE;Germany;65,74;58,82;44,75;45,57;;;;;;
KGRG.F;Lewag Holding AG;Germany;;;;;;;;;;
GWI2k.F;Gerry Weber International AG;Germany;66,01;51,27;48,01;45,07;51,72;41,85;52,33;26,18;32,06;
KVOG.MU;Oberstdorfer Bergbahn AG;Germany;;;;;;;;;;
RHKG.DE;Rhoen Klinikum AG;Germany;47,07;47,8;38,52;33,86;35,45;32,08;26,73;32,81;31,59;37,13
MTPG.MU;Muenchener Tierpark Hellabrunn AG;Germany;;;;;;;;;;
VOSG.DE;Vossloh AG;Germany;48,87;48,02;40,14;42,84;38,57;;;;;
SPNG.MU;Neuhof Textil-Holding AG;Germany;;;;;;;;;;
GOZGn.F;Gold Zack AG;Germany;;;;;;;;;;
BTCGk.F;Eyemaxx Real Estate AG;Germany;;;;;;;;;;
SWHGg.F;Enercity AG;Germany;;;;;;;;;;
MLPG.DE;MLP SE;Germany;65,65;61,63;50,88;47,44;43,46;28,28;40,55;32,4;31,31;36,77
MBHG_p.F;Maschinenfabrik Berthold Hermle AG;Germany;26,27;23,82;;;;;;;;
EIFG.F;MedNation AG;Germany;;;;;;;;;;
TURG.F;Turbon AG;Germany;;;;;;;;;;
VIBG_p.DE;Villeroy & Boch AG;Germany;71,12;61,98;60,75;;;;;;;
STRN.S;Schlatter Industries AG;Switzerland;;;;;;;;;;
BIOG.DE;Biotest AG;Germany;57,72;61,55;57,43;54,44;51,13;;;;;
BDTG.DE;Bertrandt AG;Germany;56,47;43,24;33,45;45,04;;;;;;
UZU.DE;Uzin Utz SE;Germany;43,32;32,29;;;;;;;;
BEAN.S;Belimo Holding AG;Switzerland;61,73;50,42;48,67;43,32;40,81;36,87;30,83;37,84;39,21;34,84
BBN.S;Bellevue Group AG;Switzerland;38,79;35,53;21,55;;;;;;;
BION.S;BB Biotech AG;Switzerland;41,77;20,77;20,66;11,18;10,82;6,65;5,85;4,87;6,41;9,5
NOVN.S;Novartis AG;Switzerland;85,26;86,39;85,55;83,2;85,15;82,99;84,24;84,3;84,46;84,7
ONE.S;One Swiss Bank SA;Switzerland;14,82;10,82;;;;;;;;
HBLN.S;Hypothekarbank Lenzburg AG;Switzerland;;;;;;;;;;
HUBN.S;Huber+Suhner AG;Switzerland;64,7;64,83;64,48;51,36;50,33;42,74;39,66;48,43;36,67;40,57
LECN.S;Leclanche SA;Switzerland;17,75;14,97;;;;;;;;
MORG.DE;MorphoSys AG;Germany;53,07;54,28;53,24;49,73;42,6;41,35;45,67;45,54;46,34;
MWBG.DE;mwb Fairtrade Wertpapierhandelsbank AG;Germany;;;;;;;;;;
NSNG.F;Neschen AG;Germany;;;;;;;;;;
CLXN.S;Crealogix Holding AG;Switzerland;26,24;25,06;20,82;;;;;;;
WKB.S;Banque Cantonale du Valais;Switzerland;;;;;;;;;;
SOL.S;SOLVALOR 61;Switzerland;;;;;;;;;;
BBHKk.F;Deutsche Balaton AG;Germany;;;;;;;;;;
MOZN.S;Mobilezone Holding AG;Switzerland;40,2;35,33;29,05;18,03;11,28;;;;;
VLRT.S;Valartis Group AG;Switzerland;19,48;21,62;17,62;;;;;;;
BOS.S;Bossard Holding AG;Switzerland;43,93;51,4;39,44;33,15;27,3;;;;;
FMEG.DE;Fresenius Medical Care AG & Co KGaA;Germany;86,42;86,72;84,13;79,68;80,14;74,18;72,72;68,92;66,43;67,55
STX50EEX.DE;iShares Core EURO STOXX 50 UCITS ETF (DE);Germany;;;;;;;;;;
SWVKk.F;SolarWorld AG;Germany;62,91;66,81;69,23;51,32;54,41;54,76;56,83;57,03;71,65;63,46
STX50EX.DE;iShares STOXX Europe 50 UCITS ETF (DE);Germany;;;;;;;;;;
SGBI.PK;Sangui Biotech International Inc;Germany;;;;;;;;;;
TIBN.S;Bergbahnen Engelberg Truebsee Titlis Bet AG;Switzerland;;;;;;;;;;
AVFP.PK;Avis Financial Corp;Switzerland;;;;;;;;;;
MBKG.DE;Merkur Privatbank KGaA;Germany;;;;;;;;;;
GDAXIEX.DE;iShares Core DAX UCITS ETF (DE);Germany;;;;;;;;;;
TLIK.DE;TELES Informationstechnologien AG;Germany;;;;;;;;;;
COP1n.DE;CompuGroup Medical SE & Co KgaA;Germany;48,09;47,67;41,38;30,52;30,24;;;;;
STLN.S;Swiss Steel Holding AG;Switzerland;51,48;49,29;50,26;44,13;46,94;;;;;
PUMG.DE;Puma SE;Germany;86,08;85,44;81,27;80,14;72,49;73,96;72,93;74,53;72,03;73,76
BEFG.F;Berliner Effektengesellschaft AG;Germany;;;;;;;;;;
BSSG.F;Beta Systems Software AG;Germany;;;;;;;;;;
STOG_p.DE;Sto SE & Co KgaA;Germany;57,96;52,38;48,38;45,91;;;;;;
ASCN.S;Ascom Holding AG;Switzerland;59,43;57,67;54,31;45,32;29,51;;;;;
KUB1G.MU;Konsortium AG;Germany;;;;;;;;;;
RMOG.D;RM Rheiner Management AG;Germany;;;;;;;;;;
IWG.L;IWG Plc;Switzerland;54,88;52,11;53,31;59,03;58,92;49,08;50,15;35,9;39,06;45,45
GMMG.DE;Grammer AG;Germany;59,46;40,7;39,51;;;;;;;
ALPN.S;Alpine Select AG;Switzerland;12,77;12,19;11,4;;;;;;;
ADNGk.DE;adesso SE;Germany;62,27;23,66;20,79;;;;;;;
CAG0n.H;Clere AG;Germany;;;;;;;;;;
EXJ.F;Readcrest Capital AG;Germany;;;;;;;;;;
HLEE.S;Highlight Event and Entertainment AG;Switzerland;9,72;10,93;7,34;;;;;;;
SFDGk.F;Softline AG;Germany;;;;;;;;;;
RSL2.DE;R Stahl AG;Germany;29,88;32,86;33,55;;;;;;;
YMSG.F;Ymos AG;Germany;;;;;;;;;;
COTNE.S;Comet Holding AG;Switzerland;59,43;49,54;46,95;28,8;22,88;;;;;
DOKA.S;Dormakaba Holding AG;Switzerland;84,96;82,39;82,02;71,54;68,66;62,06;55,07;42,21;46,23;39,71
SMWN.DE;SM Wirtschaftsberatungs AG;Germany;;;;;;;;;;
CWCG.DE;Cewe Stiftung & Co KGaA;Germany;64,2;59,53;49,27;51,37;;;;;;
IFCN.S;Inficon Holding AG;Switzerland;55,3;53,16;25,89;19,64;;;;;;
CLN.S;Clariant AG;Switzerland;80,49;79,76;80,48;76,63;77,56;76,45;76,5;68,79;68,33;66,94
