Company Name;Country of Headquarters;ESG Score;;;;;;;;;
;;46,54;37,86;35,58;27,42;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;38,27;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;48,2;49,54;46,65;;;;;;;
;;;;;;;;;;;
;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
Jost AG;Germany;;;;;;;;;;
Verianos Se;Germany;;;;;;;;;;
NORDWEST Handel AG;Germany;;;;;;;;;;
WashTec AG;Germany;44;32,38;20,8;18,14;;;;;;
Banque Cantonale de Geneve;Switzerland;30,98;32,65;31,14;;;;;;;
Helvetia Holding AG;Switzerland;67,34;66,96;66,4;56,76;46,17;38,92;37,65;47,55;51,36;51,44
WASGAU Produktions & Handels AG;Germany;;;;;;;;;;
Syzygy AG;Germany;28,88;31,98;14,92;;;;;;;
Umweltbank AG;Germany;;;;;;;;;;
Kuehne und Nagel International AG;Switzerland;71,32;70,59;71,17;65,97;62,85;52,05;51,17;50,69;46,03;50,64
United Internet AG;Germany;60,51;45,23;43,41;37,84;27,02;31,23;14,03;11,02;14,16;15,37
PNE AG;Germany;33,73;34,23;25,78;27,76;;;;;;
Meta Wolf AG;Germany;;;;;;;;;;
Also Holding AG;Switzerland;38,58;40,8;20,09;13,97;;;;;;
Nemetschek SE;Germany;54,36;57,33;54,61;40,47;34,39;19,56;;;;
MAX Automation SE;Germany;32,02;31,96;;;;;;;;
Prosiebensat 1 Media SE;Germany;72,69;73,82;74,38;73,96;72,75;68,38;59,25;55,9;33,33;35,69
secunet Security Networks AG;Germany;57,01;52;43,77;;;;;;;
PEH Wertpapier AG;Germany;;;;;;;;;;
Baader Bank AG;Germany;;;;;;;;;;
Foris AG;Germany;;;;;;;;;;
Medigene AG;Germany;;;;;;;;;;
Merck KGaA;Germany;90,05;91,32;87,08;83,49;83,81;78,4;80,5;80,02;74,96;72,05
Schaltbau Holding AG;Germany;24,95;;;;;;;;;
Elma Electronic AG;Switzerland;;;;;;;;;;
IVU Traffic Technologies AG;Germany;44,39;36,75;;;;;;;;
Valora Effekten Handel AG;Germany;;;;;;;;;;
iShares Dow Jones Global Titans 50 (DE);Germany;;;;;;;;;;
Pferdewetten de AG;Germany;;;;;;;;;;
Geratherm Medical AG;Germany;;;;;;;;;;
Highlight Communications AG;Switzerland;11,94;16,12;14,66;;;;;;;
Aixtron SE;Germany;72,92;75,48;74,61;60,8;54,31;54,58;46,54;34,91;33,03;28,02
Heidelberger Druckmaschinen AG;Germany;54,1;54,66;56,2;53,01;52,62;43,77;42,46;33,16;40,41;36,55
Singulus Technologies AG;Germany;;;;;;;;;;
Takkt AG;Germany;35,31;44,49;28,59;30,78;25,44;;;;;
Fielmann AG;Germany;53,59;55,12;50,46;42,23;41,31;37,47;22,37;27,32;21,52;22,05
PSI Software AG;Germany;48,65;42,12;41,79;20,71;;;;;;
Amadeus Fire AG;Germany;46,01;38,51;39,57;33,89;29,71;;;;;
Fritz Nols AG;Germany;;;;;;;;;;
Evotec SE;Germany;75,53;74,99;68,44;60,66;56,91;;;;;
Mensch und Maschine Software SE;Germany;21,57;21,41;11,04;;;;;;;
Temenos AG;Switzerland;73,7;75,39;72,26;69;60,93;54,19;52,83;28,65;22,16;25,18
Hannover Rueck SE;Germany;78,22;70,25;53,98;61,61;62,38;60,34;71,72;66,56;67,56;62,28
Tornos Holding AG;Switzerland;15,88;14,35;13,36;;;;;;;
